subject	acq	stain_0	stain_1	stain_2	sample_path
AS9F7	imaris4x	IBA1	Abeta	CD31	/nfs/trident3/lightsheet/prado/mouse_app_lecanemab_ki3_batch2/raw/ims_4x_stitched/A_AS9F7/16-51-02_a-AS9F7 IK3 PBS IBA1 647 ab RedX CD31 488 4X1_Blaze_C00.ome.ims
AS11F4	imaris4x	IBA1	Abeta	CD31	/nfs/trident3/lightsheet/prado/mouse_app_lecanemab_ki3_batch2/raw/ims_4x_stitched/B_AS11F4/22-49-58_b-AS11F4 IK3 PBS IBA1 647 ab RedX CD31 488 4X1 stitched.ims
AS37F30	imaris4x	IBA1	Abeta	CD31	/nfs/trident3/lightsheet/prado/mouse_app_lecanemab_ki3_batch2/raw/ims_4x_stitched/C_AS37F30/07-04-14_c-AS37F30 IK3 PBS IBA1 647 ab RedX CD31 488 4X1_Blaze_C00.ome.ims
AS8M1	imaris4x	IBA1	Abeta	CD31	/nfs/trident3/lightsheet/prado/mouse_app_lecanemab_ki3_batch2/raw/ims_4x_stitched/D_AS8M1/15-34-54_d AS8M1 IK3 PBS IBA1 647 ab RedX CD31 488 1X1_Blaze_C00.ome.ims
AS8M4	imaris4x	IBA1	Abeta	CD31	/nfs/trident3/lightsheet/prado/mouse_app_lecanemab_ki3_batch2/raw/ims_4x_stitched/E_AS8M4/21-43-06_e AS8M4 IK3 PBS IBA1 647 ab RedX CD31 488 1X1_Blaze_C02.ome.ims
AS7F2	imaris4x	IBA1	Abeta	CD31	/nfs/trident3/lightsheet/prado/mouse_app_lecanemab_ki3_batch2/raw/ims_4x_stitched/F_AS7F2/16-54-24_f AS7F2 IK3 PBS IBA1 647 ab RedX CD31 488 4X1_Blaze_C00.ome.ims
AS11F1e	imaris4x	IBA1	Abeta	CD31	/nfs/trident3/lightsheet/prado/mouse_app_lecanemab_ki3_batch2/raw/ims_4x_stitched/G_AS11F1e/23-36-04_g AS11F1e IK3 PBS IBA1 647 ab RedX CD31 488 4X1_Blaze_C00.ome.ims
AS11F3	imaris4x	IBA1	Abeta	CD31	/nfs/trident3/lightsheet/prado/mouse_app_lecanemab_ki3_batch2/raw/ims_4x_stitched/H_AS11F3/06-11-22_h AS11F3 IK3 PBS IBA1 647 ab RedX CD31 488 4X1_Blaze_C00.ome.ims
AS39Me0	imaris4x	IBA1	Abeta	CD31	/nfs/trident3/lightsheet/prado/mouse_app_lecanemab_ki3_batch2/raw/ims_4x_stitched/J_AS39Me0/12-43-19_j as39me0 (54) ik3 lecanemab iba1 647 ab redx cd31 488 4x1stitched.ims
AS7F1	imaris4x	IBA1	Abeta	CD31	/nfs/trident3/lightsheet/prado/mouse_app_lecanemab_ki3_batch2/raw/ims_4x_stitched/K_AS7F1/k AS 7 F1 IK3 neg ctrl BA1 647 ab RedX CD31 488 4X1 stitched.ims
AS39Me2	imaris4x	IBA1	Abeta	CD31	/nfs/trident3/lightsheet/prado/mouse_app_lecanemab_ki3_batch2/raw/ims_4x_stitched/i_AS39Me2/i AS39Me2 IK3 lecanemab IBA1 647 ab RedX CD31 488 4X1 stitched.ims
